name,employer,location,min_selary,max_selary,money_type,href,employer_id,source
"Программист-алгоритмист GPU (CUDA, OpenCL)",ООО Биганто,"Москва, Третьяковская и еще 2 ",160000,,руб,https://izhevsk.hh.ru/vacancy/37084219?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/2743658,https://hh.ru/
Spice Simulator – Solvers Developer," Silvaco, Inc","Москва, Белорусская",,,,https://izhevsk.hh.ru/vacancy/37581434?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/2503542,https://hh.ru/
"C++ Developer (Endpoint Development, B2C)", Лаборатория Касперского,"Москва, Водный стадион",,,,https://izhevsk.hh.ru/vacancy/37539249?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/1057,https://hh.ru/
Инженер-программист C++/Qt (Embedded software engineer),ООО Велитек,Челябинск,50000,,руб,https://izhevsk.hh.ru/vacancy/37430441?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/3014936,https://hh.ru/
Программист C# (middle developer),ООО ОНИТ,Ставрополь,,65000,руб,https://izhevsk.hh.ru/vacancy/37597737?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/1459482,https://hh.ru/
Инженер пусконаладочных работ АСУ ТП, SMS Metallurgical Service LLC,Магнитогорск,,57000,руб,https://izhevsk.hh.ru/vacancy/37679962?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/552889,https://hh.ru/
Qt/C++ Developer / Desktop developer (Инженер-программист / Разработчик),ООО Эскейп-Тек,"Москва, Нагорная и еще 1 ",,,,https://izhevsk.hh.ru/vacancy/37364432?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/4168710,https://hh.ru/
Kotlin python swift разработчик, InterGroup,Новосибирск,,15000,руб,https://izhevsk.hh.ru/vacancy/37115456?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/4434231,https://hh.ru/
Программист С++/Qt,ООО АЛЛЕС,"Санкт-Петербург, Елизаровская",,80000,руб,https://izhevsk.hh.ru/vacancy/37532126?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/2639807,https://hh.ru/
Инженер пусконаладочных работ АСУ ТП, SMS Metallurgical Service LLC,Балаково,,57000,руб,https://izhevsk.hh.ru/vacancy/37679963?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/552889,https://hh.ru/
Инженер пусконаладочных работ АСУ ТП, SMS Metallurgical Service LLC,Новотроицк (Оренбургская область),,57000,руб,https://izhevsk.hh.ru/vacancy/37679964?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/552889,https://hh.ru/
Middle C# Developer (C# Back-end development), Parallax Digital,Санкт-Петербург,,50000,руб,https://izhevsk.hh.ru/vacancy/37712384?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/4684218,https://hh.ru/
Программист C/С++ со знанием QT,ООО ОКБ Авиарешения,Казань,100000,,руб,https://izhevsk.hh.ru/vacancy/37539444?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/4005747,https://hh.ru/
Программист C/C++,ООО Прикладные технологии,Челябинск,,,,https://izhevsk.hh.ru/vacancy/37438692?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/653937,https://hh.ru/
Senior developer (Gamedev), JoyCraft Games,Санкт-Петербург,,180000,руб,https://izhevsk.hh.ru/vacancy/37396509?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/1103331,https://hh.ru/
C++ Developer (IDE project), HUAWEI,Санкт-Петербург,,,,https://izhevsk.hh.ru/vacancy/37588760?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/2873,https://hh.ru/
